SecGame

Seed 2344

Mad_Max 1.6
nb_players      4
nb_rounds       500
nb_cities       8
nb_warriors     20
nb_cars         3
warriors_health 40
cars_fuel       100
damage          6
rows            60
cols            60
names           Dummy Dummy Demo Demo


.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
......RRRRRRRRRRRSRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
......R..........R....R.......R.....R..........R....R.......
......R.2.2.22...R.W..R.X.....R.3.3.R.XXXXXXXX.R....R.......
......R.222.22...R.WW.R.......R.333.R..........R....R.......
......R.222.22...R....R.XXXXX.R.33..R..........R....R.......
......R..222222..R.W..R.X.....R.333.R......1...R....R.......
......R.2.222222.R....R.X.....R.333.R..1..11...R....R.......
......R.222222...R..W.R.X.....R.333.R..1...11..R....R.......
......R.....22...R.W..R.....W.R.333.R..11.1111.R....R.......
......R.....2....R.WW.R...W...R.3.3.R..11111...R....R.......
......R.....2.X..R.W..R...W...R...3.R...111111.R....R.......
......R.......X..R....R.W.WW..R.....R...11.11..R....R.......
......R.......X..R....R..WW.W.R.....R...1...1..R....R.......
......R.......X..R....R....W..R.....R..........R....R.......
......R..........R.X..R.......R.....R..........R....R.......
RRRRRRRRRRRRRRRRRS.X..RRRRRRRRRRRRRRRRRRRRRRRRRR....R.......
......R..........R.X..R.......R.....R..........R....R.......
......R..........R.X..R.X.....R...X.R........X.R....R.......
......R.......0..R.X..R.X.....R...X.R..........R....R.......
......R.......0..R.X..R.X.....R...X.R........X.R....R.......
......R...000000.R.X..R.X.....R...X.R........X.R.W..R.......
......R...000000.R.X..R.X.....R.....R........X.R..W.R.......
......R....0.000.R.X..R.XXXXX.R.....R........X.R..W.R.......
......R..X....00.R.X..R.X.....R.W.W.R.0......X.R.WW.R.......
......R..X.....0.R.X..R.......R.W...R.00.....X.R.WW.R.......
......R..X.....0.R....R...W...R..WW.R.0......X.R.WW.R.......
......R........0.R.X..R.W.....R.W.W.R.000.XXXX.R.W..R.......
......R..X.....0.R.X..R.W.....R.W...R.00.....X.R.WW.R.......
......R..X....00.R.X..R..W....R.WW..R.0.0....X.R..W.R.......
......R.XXXXX..0.R....R..W....R.....R.0000.....R....R.......
......R..X.......R.X..R.......R..W..R.000....X.R....R.......
......R..X.......R.X..R.......R.....R.000....X.R....R.......
......R..........R....R.......R.....R..........R....R.......
RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
......R...............R.......R.....R...............R.......
......R.XXXX.W.WWW....R....1..R.222.R....3333333333.R.......
......R.......W....W..R...111.R.222.R...33333333333.R.......
......R...............R.11111.R.222.R............33.R.......
RRRRRRSRRRRRRRRRRR....R.11111.R.222.SRRRRRRRRRRR.33.RRRRRRRR
......R...............R...111.R.222............R.33.R.......
......R...............R.11111.R.2222222222222..R.33.R.......
......R...............R.11111.R.2222222222.....R.33.R.......
......R...............R.......R................R....R.......
RRRRRRSRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRSRRRRRRR
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................
......R..........R....R.......R.....R.......................

round 0
num_cities 2 2 2 2
total_score 2 2 2 2
status 0 0 0 0
w 2 13 14 40 40
w 3 12 33 40 40
w 1 17 39 40 40
w 0 29 12 40 40
w 0 34 40 40 40
w 1 49 26 40 40
w 2 45 34 40 40
w 3 43 47 40 40
w 0 31 14 40 40
w 0 32 38 40 40
w 0 27 14 40 40
w 0 37 41 40 40
w 0 37 15 40 40
w 0 30 15 40 40
w 0 38 39 40 40
w 0 30 11 40 40
w 0 37 40 40 40
w 0 39 40 40 40
w 0 28 14 40 40
w 0 30 14 40 40
w 0 28 12 40 40
w 0 36 15 40 40
w 0 37 38 40 40
w 0 29 11 40 40
w 0 36 14 40 40
w 0 33 38 40 40
w 1 17 40 40 40
w 1 18 45 40 40
w 1 45 24 40 40
w 1 18 41 40 40
w 1 48 27 40 40
w 1 13 43 40 40
w 1 44 28 40 40
w 1 17 42 40 40
w 1 49 27 40 40
w 1 48 28 40 40
w 1 17 41 40 40
w 1 20 40 40 40
w 1 19 41 40 40
w 1 47 27 40 40
w 1 18 40 40 40
w 1 49 28 40 40
w 1 48 24 40 40
w 1 45 27 40 40
w 2 15 11 40 40
w 2 43 34 40 40
w 2 48 42 40 40
w 2 11 9 40 40
w 2 12 9 40 40
w 2 47 33 40 40
w 2 48 43 40 40
w 2 17 12 40 40
w 2 43 32 40 40
w 2 46 34 40 40
w 2 15 9 40 40
w 2 10 12 40 40
w 2 45 33 40 40
w 2 47 34 40 40
w 2 48 44 40 40
w 2 15 10 40 40
w 2 16 12 40 40
w 2 10 10 40 40
w 3 43 48 40 40
w 3 14 34 40 40
w 3 15 32 40 40
w 3 49 49 40 40
w 3 46 49 40 40
w 3 44 42 40 40
w 3 10 34 40 40
w 3 11 33 40 40
w 3 16 34 40 40
w 3 43 46 40 40
w 3 47 50 40 40
w 3 48 49 40 40
w 3 12 32 40 40
w 3 16 33 40 40
w 3 10 32 40 40
w 3 43 43 40 40
w 3 11 34 40 40
w 3 43 49 40 40
c 0 46 59 100 0
c 0 0 36 100 0
c 0 41 59 100 0
c 1 59 17 100 0
c 1 51 59 100 0
c 1 0 17 100 0
c 2 41 0 100 0
c 2 51 0 100 0
c 2 59 22 100 0
c 3 59 36 100 0
c 3 59 30 100 0
c 3 0 30 100 0

movements
80 y
85 b
87 b
90 t
82 y
9 t
25 x
84 l
16 l
11 y
91 r
81 b
8 r
83 t
89 r
88 t
4 z
13 t
22 t
20 w
18 b
-1


.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
.................R............R.....R.......................
......RRRRRRRRRRRSRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
......R..........R....R.......R.....R..........R....R.......
......R.2.2.22...R.W..R.X.....R.3.3.R.XXXXXXXX.R....R.......
......R.222.22...R.WW.R.......R.333.R..........R....R.......
......R.222.22...R....R.XXXXX.R.33..R..........R....R.......
......R..222222..R.W..R.X.....R.333.R......1...R....R.......
......R.2.222222.R....R.X.....R.333.R..1..11...R....R.......
......R.222222...R..W.R.X.....R.333.R..1...11..R....R.......
......R.....22...R.W..R.....W.R.333.R..11.1111.R....R.......
......R.....2....R.WW.R...W...R.3.3.R..11111...R....R.......
......R.....2.X..R.W..R...W...R...3.R...111111.R....R.......
......R.......X..R....R.W.WW..R.....R...11.11..R....R.......
......R.......X..R....R..WW.W.R.....R...1...1..R....R.......
......R.......X..R....R....W..R.....R..........R....R.......
......R..........R.X..R.......R.....R..........R....R.......
